scorer,DLC_resnet50_surgical_tool_trackingMar23shuffle1_100000,DLC_resnet50_surgical_tool_trackingMar23shuffle1_100000,DLC_resnet50_surgical_tool_trackingMar23shuffle1_100000,DLC_resnet50_surgical_tool_trackingMar23shuffle1_100000,DLC_resnet50_surgical_tool_trackingMar23shuffle1_100000,DLC_resnet50_surgical_tool_trackingMar23shuffle1_100000,DLC_resnet50_surgical_tool_trackingMar23shuffle1_100000,DLC_resnet50_surgical_tool_trackingMar23shuffle1_100000,DLC_resnet50_surgical_tool_trackingMar23shuffle1_100000
bodyparts,arm0,arm0,arm0,arm1,arm1,arm1,joint,joint,joint
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood
90,338.7514953613281,253.2229461669922,0.9999749660491943,412.6166687011719,258.4626159667969,0.9999604225158691,379.6834716796875,107.9439926147461,0.9992530941963196
91,589.360595703125,498.43115234375,0.9999465942382812,669.231689453125,496.4338073730469,0.9999133348464966,628.0739135742188,350.8172912597656,0.9999221563339233
92,415.9146423339844,436.25604248046875,0.99998939037323,494.9354248046875,440.5273742675781,0.9999644756317139,458.485595703125,291.8807067871094,0.9998595714569092
93,594.4444580078125,402.88055419921875,0.9999953508377075,634.402587890625,344.99859619140625,0.9995536208152771,555.8963012695312,253.95884704589844,0.9990932941436768
94,530.5034790039062,478.4109191894531,0.9999765157699585,569.6649169921875,421.59088134765625,0.999891996383667,490.203369140625,329.2212219238281,0.999546229839325
95,573.9420166015625,387.2577819824219,0.9999257326126099,594.3263549804688,381.6193542480469,0.9999264478683472,561.9605102539062,230.04403686523438,0.9999666213989258
96,387.72308349609375,407.2565002441406,0.9999974966049194,448.7554626464844,392.99627685546875,0.999975323677063,402.29803466796875,250.5472869873047,0.9998931884765625
97,537.7345581054688,492.983154296875,0.9991251826286316,581.700439453125,568.1586303710938,0.9999635219573975,618.4296875,417.926025390625,0.9998641014099121
98,451.9923095703125,480.55157470703125,0.9999637603759766,475.96197509765625,402.7145080566406,0.9998053908348083,395.6401062011719,343.8917236328125,0.9997616410255432
99,614.7660522460938,524.5762329101562,0.9999685287475586,651.6383056640625,532.476318359375,0.9999784231185913,650.4891967773438,374.5810546875,0.9998667240142822
100,459.5752258300781,404.4951477050781,0.9999754428863525,495.8428649902344,412.7394104003906,0.9999597072601318,494.9242248535156,254.75042724609375,0.9996150732040405
101,565.4042358398438,314.352783203125,0.9999591112136841,588.09423828125,306.5169677734375,0.9999607801437378,551.2124633789062,156.7791748046875,0.9998990297317505
102,558.04638671875,602.1693725585938,0.9999358654022217,585.873291015625,575.2802124023438,0.9998420476913452,518.1801147460938,453.3240051269531,0.999956488609314
103,589.0928344726562,414.3686218261719,0.9998229146003723,637.0858764648438,395.76239013671875,0.9996989965438843,587.2532348632812,256.00433349609375,0.9997102618217468
104,406.2411804199219,548.9839477539062,0.9999936819076538,432.5086669921875,545.176025390625,0.99997878074646,408.63250732421875,389.6502990722656,0.9998798370361328
105,532.8055419921875,533.7525024414062,0.9999963045120239,559.3062133789062,530.0517578125,0.9999845027923584,535.7184448242188,374.3916931152344,0.9999122619628906
106,373.4953918457031,184.6922607421875,0.9999607801437378,458.40936279296875,179.6283721923828,0.9999692440032959,414.3080139160156,37.26934051513672,0.9998483657836914
107,461.6331481933594,489.89996337890625,0.9999457597732544,519.0322265625,486.4664001464844,0.9999936819076538,486.1466369628906,335.1933898925781,0.9998815059661865
108,548.1087036132812,583.2127075195312,0.9999972581863403,595.9970703125,575.743408203125,0.9999704360961914,561.28076171875,424.50006103515625,0.9999139308929443
109,452.3696594238281,560.643310546875,0.9999744892120361,503.9685974121094,502.0608825683594,0.9999516010284424,424.70343017578125,405.7899475097656,0.9998816251754761
110,567.2028198242188,173.39163208007812,0.9999567270278931,580.11279296875,155.3560791015625,0.9998666048049927,510.5260925292969,38.65633773803711,0.999861478805542
111,559.461669921875,194.45863342285156,0.9999333620071411,572.5403442382812,176.29653930664062,0.9995564818382263,502.67840576171875,60.144920349121094,0.9999052286148071
112,493.34637451171875,403.57598876953125,0.9999547004699707,510.88018798828125,438.646484375,0.9999890327453613,571.9974365234375,307.9621276855469,0.9999014139175415
113,566.0147705078125,479.2946472167969,0.9999678134918213,632.0921630859375,484.8514404296875,0.9999862909317017,605.7263793945312,331.4583435058594,0.9994951486587524
114,362.1423645019531,474.4778137207031,0.9997056126594543,401.2906188964844,507.29693603515625,0.9999620914459229,430.9153137207031,355.368896484375,0.9998918771743774
115,600.5873413085938,517.6801147460938,0.9999854564666748,633.12939453125,469.0286560058594,0.999932050704956,554.3673706054688,372.59100341796875,0.999894380569458
116,501.4224853515625,422.074462890625,0.9999434947967529,518.97314453125,419.44158935546875,0.999823272228241,500.1810302734375,263.9407043457031,0.9999382495880127
117,397.6789245605469,360.58935546875,0.999702513217926,412.1177978515625,357.6672058105469,0.9998525381088257,394.2179260253906,202.9197998046875,0.9997003078460693
118,529.6283569335938,219.83975219726562,0.999834418296814,565.794677734375,304.4736633300781,0.999408483505249,604.1583251953125,158.78758239746094,0.9994694590568542
119,410.90283203125,616.7752075195312,0.9997926354408264,473.1081848144531,668.5057373046875,0.9997369647026062,486.20458984375,513.1657104492188,0.9998834133148193
120,474.47772216796875,329.4966125488281,0.9999223947525024,510.8167724609375,321.75445556640625,0.999976634979248,480.0538635253906,171.4315948486328,0.999800980091095
121,404.0398864746094,575.72607421875,0.9999727010726929,440.165283203125,597.2796020507812,0.9999915361404419,458.7950134277344,442.4918212890625,0.9996167421340942
122,605.9813232421875,377.81195068359375,0.9996548891067505,622.517822265625,381.5456848144531,0.9995624423027039,635.5940551757812,225.13143920898438,0.9998186230659485
123,528.5447387695312,140.39793395996094,0.9994879961013794,546.774658203125,145.26026916503906,0.9999505281448364,556.586669921875,-3.428407669067383,0.06413307040929794
124,451.02105712890625,547.5035400390625,0.9999626874923706,545.2659912109375,551.1958618164062,0.9999717473983765,500.89031982421875,406.32196044921875,0.999967098236084
