scorer,DLC_mobnet_100_surgical_tool_trackingMar23shuffle1_100000,DLC_mobnet_100_surgical_tool_trackingMar23shuffle1_100000,DLC_mobnet_100_surgical_tool_trackingMar23shuffle1_100000,DLC_mobnet_100_surgical_tool_trackingMar23shuffle1_100000,DLC_mobnet_100_surgical_tool_trackingMar23shuffle1_100000,DLC_mobnet_100_surgical_tool_trackingMar23shuffle1_100000,DLC_mobnet_100_surgical_tool_trackingMar23shuffle1_100000,DLC_mobnet_100_surgical_tool_trackingMar23shuffle1_100000,DLC_mobnet_100_surgical_tool_trackingMar23shuffle1_100000
bodyparts,arm0,arm0,arm0,arm1,arm1,arm1,joint,joint,joint
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood
90,338.5712890625,253.329833984375,0.999800980091095,410.8537902832031,260.1354675292969,0.999859094619751,378.16204833984375,104.42704772949219,0.9998262524604797
91,587.3350830078125,497.7366943359375,0.9999165534973145,667.7808227539062,495.89141845703125,0.9996373653411865,626.0439453125,348.5728759765625,0.9998856782913208
92,416.7019348144531,435.431396484375,0.9999343156814575,492.4248046875,440.8459167480469,0.9998456239700317,456.7989196777344,290.4423522949219,0.9999628067016602
93,594.874267578125,400.4488830566406,0.9999270439147949,632.0421142578125,343.7837219238281,0.9997919201850891,554.2531127929688,250.4590606689453,0.999544084072113
94,530.2467041015625,477.7438049316406,0.9997908473014832,568.17919921875,419.4853515625,0.9998037219047546,489.1780090332031,327.3204345703125,0.9999366998672485
95,574.675537109375,386.0584411621094,0.9998183846473694,591.8681640625,380.9745788574219,0.9995996356010437,560.453857421875,228.16973876953125,0.999988317489624
96,387.4445495605469,404.9607238769531,0.9999867677688599,447.2134094238281,391.32171630859375,0.9999371767044067,400.7217712402344,246.5286407470703,0.9999819993972778
97,536.9033203125,492.1517028808594,0.9996178150177002,580.1336059570312,566.4053344726562,0.9998382329940796,616.3248291015625,417.0086364746094,0.999948263168335
98,452.24609375,478.41778564453125,0.9997707009315491,473.5578918457031,401.6549377441406,0.9995008707046509,394.547607421875,342.87353515625,0.9998438358306885
99,614.4992065429688,523.814453125,0.9998668432235718,649.9524536132812,532.7297973632812,0.9998335838317871,649.5588989257812,373.231689453125,0.9999513626098633
100,457.1996154785156,403.4998474121094,0.9999794960021973,494.06475830078125,412.3501281738281,0.9996323585510254,492.990478515625,251.4239959716797,0.9994569420814514
101,567.2994384765625,313.7121276855469,0.9998421669006348,585.123046875,306.7175598144531,0.9997360110282898,549.2650146484375,153.2233123779297,0.9999613761901855
102,559.9637451171875,599.7919311523438,0.9992119073867798,584.5327758789062,574.3438720703125,0.9992796778678894,516.2238159179688,452.2422790527344,0.9999921321868896
103,588.8496704101562,413.5169982910156,0.9997621178627014,635.5172119140625,394.9063415527344,0.9995388984680176,585.9172973632812,253.76669311523438,0.9995080232620239
104,407.2705383300781,546.9226684570312,0.9999905824661255,429.9664611816406,542.4193725585938,0.9997908473014832,408.0647277832031,388.20526123046875,0.9999806880950928
105,534.4185791015625,532.591064453125,0.9999890327453613,556.3844604492188,527.232421875,0.9997230172157288,533.7337036132812,372.78509521484375,0.9999901056289673
106,373.7089538574219,183.7850341796875,0.9999842643737793,457.62811279296875,179.1012420654297,0.9997875094413757,413.6918029785156,34.64800262451172,0.9998983144760132
107,459.8417663574219,488.2406311035156,0.9998358488082886,516.9656982421875,484.7934875488281,0.9999690055847168,483.6170959472656,333.1549987792969,0.9999237060546875
108,548.0341186523438,580.812255859375,0.9999915361404419,594.4588012695312,572.9210815429688,0.9997525811195374,559.5720825195312,423.2360534667969,0.999975323677063
109,452.9901123046875,558.9560546875,0.9999499320983887,502.9480895996094,499.7350769042969,0.999871015548706,423.6995544433594,404.1883239746094,0.9999828338623047
110,566.2891845703125,173.7461700439453,0.9998992681503296,578.3226928710938,154.24473571777344,0.999751627445221,510.43939208984375,36.501373291015625,0.999945878982544
111,560.88916015625,193.4348602294922,0.9994156360626221,570.94775390625,175.89724731445312,0.9977856874465942,500.9570617675781,57.59751510620117,0.9999567270278931
112,493.1847839355469,400.7190246582031,0.9993897676467896,509.4103698730469,435.01593017578125,0.999652624130249,571.749267578125,306.7289123535156,0.9998581409454346
113,565.3635864257812,479.0587463378906,0.9999610185623169,629.8906860351562,483.809326171875,0.9999610185623169,604.1826782226562,328.7049865722656,0.9997506737709045
114,360.6908874511719,472.14044189453125,0.999958872795105,398.7660217285156,505.7650451660156,0.9997294545173645,429.2185974121094,352.7450866699219,0.999910831451416
115,599.8460693359375,515.6693115234375,0.9999767541885376,632.8942260742188,467.18206787109375,0.9997108578681946,553.194091796875,371.4006652832031,0.9999592304229736
116,503.1048278808594,421.656982421875,0.9999350309371948,515.9623413085938,418.0836181640625,0.9994915723800659,498.6624450683594,261.1849670410156,0.9999905824661255
117,398.4238586425781,359.6413269042969,0.9991822838783264,409.8933410644531,358.07958984375,0.9995669722557068,392.0475769042969,199.3577880859375,0.9999630451202393
118,527.5814208984375,219.26463317871094,0.9987891316413879,563.5912475585938,301.614990234375,0.9995023012161255,602.7435913085938,155.39268493652344,0.9994221925735474
119,409.4188232421875,614.8207397460938,0.999954342842102,471.3387145996094,668.4354248046875,0.9995860457420349,484.23614501953125,510.50067138671875,0.9999597072601318
120,473.7751159667969,328.3890075683594,0.9999572038650513,507.53271484375,320.58184814453125,0.9996482133865356,477.8725280761719,166.85496520996094,0.9999456405639648
121,403.9071350097656,574.9309692382812,0.9999086856842041,437.40924072265625,596.334716796875,0.9999245405197144,456.33282470703125,439.575439453125,0.9999547004699707
122,603.9708251953125,376.8484802246094,0.9996440410614014,620.3299560546875,381.74273681640625,0.9992915391921997,633.5296630859375,222.46632385253906,0.9997484087944031
123,526.8123168945312,139.54112243652344,0.998896598815918,542.7874755859375,144.23300170898438,0.9998674392700195,561.35693359375,-4.426892280578613,0.4776419699192047
124,450.4899597167969,546.8252563476562,0.9999496936798096,543.6721801757812,550.2416381835938,0.999947190284729,499.5325927734375,404.3316955566406,0.9999923706054688
125,593.2063598632812,442.0924377441406,0.9991495609283447,617.0626220703125,410.01141357421875,0.9993911981582642,543.94189453125,297.7861022949219,0.9999368190765381
126,500.9688720703125,370.28546142578125,0.9999743700027466,584.7942504882812,375.9217529296875,0.9997617602348328,546.8837280273438,226.78602600097656,0.9999922513961792
127,518.9111938476562,589.1754760742188,0.9999139308929443,570.7688598632812,532.5421142578125,0.9995214939117432,494.4276123046875,433.25128173828125,0.9999614953994751
128,411.39013671875,498.5008239746094,0.9994192123413086,419.1122741699219,511.5843200683594,0.99941086769104,479.63922119140625,382.9024353027344,0.9999377727508545
129,412.0903015136719,253.48690795898438,0.9982043504714966,421.0875549316406,267.05352783203125,0.9981811046600342,478.4298095703125,134.6479949951172,0.9999557733535767
130,371.1973876953125,594.361328125,0.999967098236084,398.3209228515625,632.8277587890625,0.9994350075721741,444.5082702636719,491.89361572265625,0.9993933439254761
131,590.6643676757812,480.8324890136719,0.9998840093612671,663.1098022460938,458.2340393066406,0.999794065952301,609.0966796875,324.99530029296875,0.9999864101409912
132,465.81268310546875,354.6064758300781,0.9999716281890869,509.8357849121094,337.720703125,0.9998956918716431,468.1228942871094,194.13380432128906,0.9999918937683105
133,458.5286865234375,540.9396362304688,0.9997785687446594,522.2876586914062,523.0873413085938,0.9994924068450928,472.6691589355469,384.29547119140625,0.9999115467071533
134,549.061767578125,375.3338623046875,0.9999855756759644,624.7604370117188,360.4118347167969,0.9999407529830933,574.6820678710938,219.81248474121094,0.9997414946556091
135,458.9358825683594,369.67437744140625,0.9999430179595947,535.748779296875,354.1369323730469,0.9998985528945923,484.62255859375,213.7944793701172,0.9999880790710449
136,570.608154296875,436.35791015625,0.9999457597732544,642.419677734375,468.0638122558594,0.999967098236084,632.7302856445312,309.8558044433594,0.9999642372131348
137,435.3246765136719,281.70404052734375,0.9999610185623169,502.2091369628906,311.9078674316406,0.9999178647994995,495.9039306640625,151.91514587402344,0.9999650716781616
138,478.0086364746094,366.9187927246094,0.9998329877853394,553.8967895507812,347.73876953125,0.9993996620178223,499.558837890625,211.32688903808594,0.9999918937683105
139,290.6291809082031,333.88824462890625,0.9995947480201721,332.3490905761719,401.4435729980469,0.9997292160987854,370.7638854980469,253.0473175048828,0.9999159574508667
140,657.9005126953125,621.9193115234375,0.9995392560958862,712.80419921875,545.6312255859375,0.9994764924049377,632.9637451171875,466.2660217285156,0.9999547004699707
141,686.3473510742188,677.62890625,0.9997530579566956,739.652587890625,603.183837890625,0.9996708631515503,660.9408569335938,523.7880249023438,0.9998883008956909
